"country","year","region","tb_rate_prison","cases_prison","prison_pop","c_newinc","c_newinc_100k","e_pop_num","inc_pop","inc_rate","occupancy","occupancy_year","inc_pop_spline","inc_rate_spline","cases_prison_spline"
"Argentina",2000,"South America",NA,NA,NA,11767,32,36870796,NA,NA,1.221,2018,46355.3007639327,0.00125723623552724,0
"Argentina",2001,"South America",NA,NA,NA,11456,31,37275644,NA,NA,1.221,2018,51993.6504219589,0.00139484244516229,0
"Argentina",2002,"South America",NA,NA,NA,11548,31,37681743,57632,151,1.221,2018,57632,0.00152944092846236,0
"Argentina",2003,"South America",NA,NA,NA,10844,28,38087866,NA,NA,1.221,2018,62828.4068338818,0.00164956489906475,0
"Argentina",2004,"South America",NA,NA,NA,11413,30,38491970,65351,168,1.221,2018,65351,0.00169778268038762,0
"Argentina",2005,"South America",NA,NA,NA,10576,27,38892924,NA,NA,1.221,2018,63638.1149621697,0.00163623889430812,0
"Argentina",2006,"South America",NA,NA,NA,9675,25,39289876,60621,152,1.221,2018,60621,0.00154291655183641,0
"Argentina",2007,"South America",NA,NA,NA,10227,26,39684303,NA,NA,1.221,2018,59569.00815712,0.00150107230451093,0
"Argentina",2008,"South America",NA,NA,NA,9196,23,40080159,60611,149,1.221,2018,60611,0.00151224449982846,0
"Argentina",2009,"South America",NA,NA,NA,7701,19,40482786,NA,NA,1.221,2018,62933.602858485,0.00155457687271042,8.10003543324723
"Argentina",2010,"South America",NA,NA,NA,7336,18,40895751,65095,157,1.221,2018,65095,0.00159173015309097,46.7000306144905
"Argentina",2011,"South America",NA,NA,NA,9733,24,41320497,NA,NA,1.221,2018,65989.4552563388,0.00159701504210704,85.3000257957337
"Argentina",2012,"South America",NA,NA,NA,8758,21,41755188,66484,157,1.221,2018,66484,0.00159223328128711,123.900020976977
"Argentina",2013,"South America",NA,NA,NA,8933,21,42196034,NA,NA,1.221,2018,67812.8793371724,0.00160709130476984,162.50001615822
"Argentina",2014,"South America",308.447965851448,211,68407,9195,22,42637508,NA,NA,1.221,2018,70706.4272541432,0.00165831519173548,211
"Argentina",2015,"South America",281.260494794582,201,71464,9601,22,43075416,75769,174,1.221,2018,75769,0.00175898475362374,201
"Argentina",2016,"South America",427.479314459553,326,76261,10347,24,43508459,NA,NA,1.221,2018,83272.7483490765,0.001913943868917,326
"Argentina",2017,"South America",349.424856067446,298,85283,10170,23,43937143,92161,207,1.221,2018,92161,0.0020975646960022,298
"Argentina",2018,"South America",NA,NA,NA,10320,23,44361150,NA,NA,1.221,2018,101278.543943185,0.00228304595221687,355.49999134792
"Belize",2000,"Central America",NA,NA,NA,106,43,247310,765,320,0.873,2014,765,0.00309328373296672,13.7253131390058
"Belize",2001,"Central America",NA,NA,NA,136,53,255068,NA,NA,0.873,2014,858.783488857956,0.00336688055286416,12.6346514625137
"Belize",2002,"Central America",NA,NA,NA,135,51,262387,951,377,0.873,2014,951,0.00362441736823852,11.5439897860217
"Belize",2003,"Central America",NA,NA,NA,99,37,269428,NA,NA,0.873,2014,1043.12906548796,0.00387164313095877,10.4533281095296
"Belize",2004,"Central America",NA,NA,NA,83,30,276516,1149,434,0.873,2014,1149,0.00415527492080024,9.36266643303756
"Belize",2005,"Central America",NA,NA,NA,102,36,283798,NA,NA,0.873,2014,1272.20024919065,0.00448276678902123,8.2720047565455
"Belize",2006,"Central America",NA,NA,NA,85,29,291338,1363,489,0.873,2014,1363,0.00467841476223493,7.18134308005344
"Belize",2007,"Central America",NA,NA,NA,63,21,299031,NA,NA,0.873,2014,1379.56993774909,0.00461346796067661,6.09068140356138
"Belize",2008,"Central America",366.300366300366,5,1365,88,29,306822,1365,464,0.873,2014,1365,0.00444883352562724,5
"Belize",2009,"Central America",NA,NA,NA,88,28,314655,NA,NA,0.873,2014,1373.64499981251,0.0043655591038201,3.90949506246598
"Belize",2010,"Central America",211.267605633803,3,1420,145,45,322465,1420,460,0.873,2014,1420,0.00440357868295784,3
"Belize",2011,"Central America",NA,NA,NA,74,22,330236,NA,NA,0.873,2014,1498.35006300174,0.00453720994380305,1.81778582564719
"Belize",2012,"Central America",64.0204865556978,1,1562,84,25,338001,1562,476,0.873,2014,1562,0.00462128810269792,1
"Belize",2013,"Central America",NA,NA,NA,121,35,345707,NA,NA,0.873,2014,1567.70474818037,0.00453477872354442,1.81799455158151
"Belize",2014,"Central America",196.463654223969,3,1527,72,20,353366,1527,446,0.873,2014,1527,0.00432129859692217,3
"Belize",2015,"Central America",NA,NA,NA,78,22,360926,NA,NA,0.873,2014,1462.08931858348,0.00405093930219348,3.90953789825491
"Belize",2016,"Central America",NA,NA,NA,120,33,368399,NA,NA,0.873,2014,1383.06699445763,0.0037542637044553,5.00041658417414
"Belize",2017,"Central America",NA,NA,NA,117,31,375775,1297,356,0.873,2014,1297,0.00345153349743863,6.09129527009337
"Belize",2018,"Central America",NA,NA,NA,99,26,383071,NA,NA,0.873,2014,1209.76632783571,0.00315807338022379,7.1821739560126
"Bolivia",2000,"South America",NA,NA,NA,10127,120,8418270,8151,95,3.639,2018,8151,0.000968251196504745,0
